Class,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Brd4,Cdk8,Cdk9,Med12,p300,CBP,Pol2,Lsd1,Brg1,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,DNaseI,Oct4,Sox2,Nanog,Smad3,Stat3,Tcf3,Esrrb,Klf4,Prdm14,Tcfcp2I1,Nr5a2,AT_content,GC_content,phastCons,phastConsP,repeat_fraction,length
SE,0.2018,1.4146,0.0749,0.1198,0.7075,0.6613,0.7682,0.8354,0.0358,0.1222,0.0898,0.8594,0,0.6773,0.2392,0.7762,0.7901,0.173,0.3476,0.5999,2.4071,2.2322,1.83,0.5358,0,0.8796,0.0417,0.4839,1.5489,0.8829,0.1934,0.55226,0.44774,0.057415,0.057418,0.810734,708
SE,0.1342,0.4785,0.5477,0.2809,0.463,1.6258,0.7081,0.8529,0.5809,1.3746,0.8735,1.098,0.0705,0.3754,0.3475,0.6892,0.3853,0.3133,0.6304,0.2564,0.4925,0.5034,0.4613,0.162,0.1074,0.0472,0.4979,0.0315,0.1724,0.1641,0,0.572423,0.427577,0.128439,0.128439,0.738162,718
SE,0.6214,0.7748,0.1633,0,1.5622,2.5607,1.1498,1.7954,1.6155,3.2193,0.5454,1.7183,0.453,0.2651,0.4961,1.1575,2.3542,1.3007,0.6111,1.3063,4.9473,5.2589,4.092,2.4792,0.0971,1.6501,1.999,0.1867,5.2407,0,0.2011,0.59242,0.40758,0.220057,0.230713,0.092711,1715
SE,0.9484,1.8778,0,0,0.8669,1.8424,0.819,0.358,0.1219,0,0,0.7964,0.7342,0,0,0.652,1.2893,0.0698,0.2058,0.4211,0.3392,0,0,0.6964,0,0.2754,1.5431,0,1.0517,0.2885,0.4231,0.649123,0.350877,0.050386,0.050386,0,57
SE,1.1076,0.7386,0,0,3.2876,3.8653,1.8325,5.3923,1.5005,6.7089,0.4789,2.9671,0.9055,0.5792,0.9231,1.6583,1.9375,1.5435,1.0639,2.7914,2.5468,4.227,10.1784,4.1359,0.5906,2.1521,1.5641,2.3268,63.299,34.6054,0.1112,0.548009,0.451991,0.054896,0.054997,0.23185,1281
SE,0.0771,0.3055,0,0.16,0.5001,0.4165,0.2136,0.2908,0.1237,0.108,0.0121,0.3583,0.3752,0.1553,0.2744,0.3382,0.2713,0.2011,0.1047,0.3743,0.7194,1.0016,0.8878,0.0808,0.126,0.3021,0,0.0837,0.2627,0.2462,0,0.559928,0.440072,0,0,0.88551,559
SE,1.7486,0.7484,0.3565,0.1333,3.7065,3.1659,1.6991,3.1188,4.4699,1.4123,2.5127,1.9224,0.5737,0.1327,0.5032,1.2316,1.1664,1.1787,0.8212,0.6754,2.2064,2.0046,0.6984,1.7661,1.0043,0.6902,0.8715,0.7652,4.0772,0.8966,0,0.540789,0.459211,0.104213,0.104216,0.857895,760
SE,1.853,0.3159,2.1606,0,4.3967,2.1476,0.9901,2.12,1.9457,2.6215,0.8271,1.8422,0.6141,0.9463,0.6005,0.7406,1.7408,1.3985,0.971,1.615,0.7649,0.7419,0.8422,0.7819,0.1574,0.3815,2.7074,4.2827,66.2888,0,0.3586,0.512258,0.487742,0.112459,0.112459,0.08129,775
SE,3.1599,0.3469,1.4374,0.0492,2.6116,2.5722,1.4524,4.5354,4.9752,3.2283,4.1634,2.3693,1.1075,0.8443,0.893,1.1952,1.3527,1.7903,0.7837,1.3128,1.7038,1.6977,3.1741,1.9379,0.396,1.4212,1.3924,1.2719,0.2034,5.3734,0.1093,0.515807,0.484193,0.087086,0.081583,0,1803
SE,1.3552,0.0339,3.3182,0,2.0754,1.6684,1.3868,2.4451,2.799,0.5028,2.2727,1.7238,0.6246,0.4658,0.4774,0.9045,1.3879,1.3165,0.6352,1.3986,0.5102,0.6715,0.6776,0.9429,0.8389,0.9452,0.7565,0.8446,0.8542,11.0838,0,0.497481,0.502519,0.182558,0.184423,0.059194,794
SE,3.8644,0.9178,0.3916,0.0797,3.028,1.9163,1.2253,3.2412,5.5663,3.2185,1.6666,1.9353,1.6483,0.8857,0.5732,1.2912,1.5475,1.3231,0.7099,2.2972,1.3931,1.1185,2.146,1.3229,0.2713,1.0715,2.969,1.2198,2.257,1.3607,0.5251,0.514944,0.485056,0.13112,0.131122,0.925903,1606
SE,2.3951,1.2342,0.2821,0,4.8668,1.9983,0.8225,2.0978,6.1742,4.6346,1.6765,1.1563,0.8158,0.634,0.5484,0.8401,1.7611,0.3808,0.6929,2.2937,0.7427,0.7921,0.6771,1.6661,0,0.3817,0,0.6519,0.9521,0.3021,0.0537,0.500603,0.499397,0.155842,0.155843,0.209891,829
SE,1.4248,1.2409,0.1417,0,2.3539,1.887,1.4067,2.7515,4.4923,2.9366,0.3856,2.352,0.8941,0.7748,0.8403,1.6178,1.2387,1.2571,0.3781,1.1915,0.6932,0.8128,1.1479,1.7946,0.1387,0.2638,5.8054,1.497,1.5813,1.4116,1.2836,0.571066,0.428934,0.164677,0.164679,0.600254,788
SE,4.0029,1.1665,0.1644,0,2.9642,3.0958,1.9341,3.8689,9.7219,5.3646,3.6817,3.0501,1.0119,0.7715,0.6527,1.2608,1.3923,1.1687,0.8452,2.9934,1.9525,1.9971,2.382,4.4138,0.2834,0.6749,1.5159,0.9182,5.2028,12.438,0.2592,0.497558,0.502442,0.202701,0.202703,0.071622,1843
SE,0.6913,1.2687,0,0,3.2399,1.6013,0.7948,0.8115,1.5333,0.2124,1.9134,2.1548,0.2521,0.3181,0.199,0.5158,0.6858,0.1705,0,3.0757,2.1838,0.5653,1.4529,0,0,2.2992,0.0797,0.0199,0.0896,0,0.0604,0.52251,0.47749,0.071478,0.071478,0.199181,733
SE,2.3083,1.5819,0,0,4.546,2.5895,1.5706,2.8522,3.9122,2.9055,3.7526,1.423,0.4966,0.3599,0.4917,0.8115,0.8907,0.2402,0.2185,2.3454,0.9474,0.4898,1.3504,1.2914,0.2274,1.1433,0.7293,0.5,1.6607,0.1144,0.7715,0.505755,0.494245,0.055772,0.055773,0.641007,1390
SE,1.9602,0.4447,0.3945,0.3904,8.9402,6.83,2.8067,8.7397,14.5615,7.8129,6.8398,4.2846,1.2982,1.138,1.7326,1.4059,1.9578,1.5453,0.8344,4.6308,5.7311,10.6872,12.3782,6.1402,0.887,7.6993,2.5768,1.3088,19.9134,7.8546,1.1822,0.508806,0.491194,0.061888,0.061889,0.34638,1022
SE,3.2233,1.0211,0.4511,0,5.3726,2.0735,1.4623,3.7799,4.6339,1.9692,9.4887,1.1681,0.7308,0.5085,0.5468,0.536,1.3719,0.4681,0.3705,2.6873,0.5051,0.7421,0.2114,2.1394,0.4637,0.8007,0.9953,0.3484,0.2669,1.831,0,0.52619,0.47381,0.15432,0.154325,0.714286,840
SE,3.0017,1.5932,0.4492,0,5.3883,3.8551,2.1101,2.8478,3.0963,2.4763,4.6993,2.4305,0.585,0.3804,0.7349,1.6573,1.392,1.2219,0.6554,1.5832,2.1919,2.6158,3.7049,2.9203,1.3945,1.2935,1.6793,0.3381,1.1443,0.6723,0.8225,0.545285,0.454715,0.101831,0.101834,0.426704,1071
SE,4.7939,1.1311,0.2425,0.4207,1.7053,1.3161,1.3384,2.599,4.9166,1.325,2.9187,1.6198,1.1954,0.3434,0.5922,1.299,1.6314,1.1347,0.7601,1.7349,1.2054,1.6118,2.6249,0.8308,0.0696,1.0515,4.2964,1.9332,4.0131,0.8897,1.1757,0.513441,0.486559,0.077465,0.077467,0.400538,744
SE,0.0086,0.8521,0,0,0.3868,0.3735,0.0516,0.3853,0.5908,0.7579,0,0.3474,0.8856,0.1222,0.118,0.3896,0.4866,0.7293,0.3879,1.676,0.6535,2.4707,4.7759,0.8873,0,0,2.0019,0.2822,0.6614,0.4196,0.4932,0.583902,0.416098,0.284773,0.284773,0.826739,733
